run, cd, cl
127,2.9562671010e-01, -2.0971293633e-02
128,2.4565664517e-01, -2.6856343228e-02
129,2.2504717671e-01, -2.0969728487e-02
130,2.6536117095e-01, 5.3452078324e-02
131,3.2253393540e-01, 6.9476813111e-02
132,3.3821543290e-01, -1.3250444266e-01
133,2.4424221358e-01, 5.9702295555e-02
134,2.8674020894e-01, -1.1230564827e-01
135,4.2006213088e-01, 1.2202543303e-01
136,2.7123313338e-01, -1.2675793318e-01
137,2.6445139240e-01, -3.6363743489e-03
138,3.0575580872e-01, -7.6133058385e-03
139,2.1407949523e-01, -5.0547640960e-02
140,3.2880604624e-01, 1.2389128596e-02
141,3.8031868217e-01, 4.0024349277e-01
142,3.1568384475e-01, -6.6404379973e-02
143,2.8876205310e-01, -8.8262562867e-02
144,2.1284002021e-01, 3.7341919449e-02
145,2.8999237221e-01, 1.4568303757e-01
146,3.0881877940e-01, -2.9082277884e-02
147,3.0198439762e-01, -1.0566646974e-01
148,3.6559632484e-01, 4.0944569267e-01
149,2.7136050744e-01, -1.9435938363e-02
150,2.3617065227e-01, 1.0832150089e-01
151,2.0121647248e-01, -2.3061744898e-03
152,3.8976245665e-01, 7.0877296544e-01
153,3.4532721673e-01, -1.0238106318e-01
154,2.2874357981e-01, -7.5227553286e-02
155,3.1463816822e-01, -9.0052259164e-02
156,2.9764337964e-01, -1.3003432985e-01
157,2.2237620412e-01, -1.9906759396e-02
158,2.3659992838e-01, -1.1034433877e-01
159,3.3299627883e-01, -2.1300719972e-01
160,2.7258146212e-01, -5.7629557779e-02
161,3.0724869145e-01, -7.0812073387e-03
162,2.8270503977e-01, -7.7833033576e-03
163,3.0085508283e-01, -5.1180778206e-02
164,2.4644548719e-01, -5.8134242870e-02
165,2.6569904678e-01, -2.5722373029e-02
166,2.6172679515e-01, 1.4455438963e-01
167,2.3168067952e-01, 1.0161420148e-01
168,3.6526700241e-01, -3.5070564140e-02
169,2.8132970213e-01, -8.8292572261e-02
170,2.7054824627e-01, -3.4706493638e-02
171,4.3166869257e-01, 6.4227965118e-01
172,2.8958548233e-01, 3.2858412878e-02
173,3.7375530231e-01, 6.1545355200e-01
174,3.4008720598e-01, 5.2137172115e-01
175,2.9892331512e-01, -8.8190771857e-02
176,1.9371213219e-01, 1.3122758788e-01
177,2.5945992016e-01, 2.8091256483e-01
178,4.0941027518e-01, 4.3413244837e-01
179,2.4412587009e-01, -3.6956952540e-02
180,3.5821159240e-01, -1.4067398758e-01
181,3.3172985022e-01, -1.6370156181e-01
182,3.0812077957e-01, -5.7727803298e-02
183,3.1436562698e-01, -2.2698494079e-02
184,3.0647443569e-01, 2.7838734062e-01
185,3.8549417788e-01, -1.2626257353e-01
186,2.5890373200e-01, -5.7925033105e-02
187,3.3181468348e-01, 3.0677189426e-01
188,2.5751416037e-01, 4.2062265369e-02
189,2.3130094096e-01, 1.7955689583e-01
190,4.1072957433e-01, 4.6658414233e-01
191,2.8174126254e-01, 3.6334665333e-01
192,2.5473992235e-01, 4.0160275275e-02
193,2.3932978589e-01, 7.5433700410e-02
194,3.0836905453e-01, 2.7848879335e-02
195,2.5223467225e-01, 1.0009129088e-01
196,3.1224772771e-01, 3.9786563174e-01
197,3.7487369009e-01, 4.9987234369e-01
198,2.3165527503e-01, 6.0988510185e-03
199,2.3495649362e-01, 6.8106855479e-03
200,2.8208294837e-01, 1.6766275833e-01
201,2.4301752053e-01, 1.7743116771e-01
202,2.2797214248e-01, -3.4416225335e-03
203,2.5839181795e-01, -1.2892807534e-01
204,2.9743360239e-01, 4.4740356619e-01
205,5.0800691123e-01, 5.9290287972e-01
206,3.0989468307e-01, -1.5457850459e-01
207,2.5026559095e-01, -4.6062441325e-02
208,2.4307093872e-01, 2.4160641694e-01
209,3.3206743797e-01, -1.3975852747e-01
210,2.2773847853e-01, 9.2995238916e-02
211,3.1267206781e-01, 3.1029258354e-02
212,3.4823532079e-01, -6.7067258001e-02
213,2.5641357048e-01, -7.7873549087e-02
214,3.0339818529e-01, -1.3624025243e-01
215,3.6400565159e-01, -8.8530814065e-02
216,3.5386409098e-01, 3.6332286878e-01
217,4.0217971070e-01, 4.9656810354e-01
218,2.3052698102e-01, -2.4568275420e-02
219,2.5994763397e-01, 2.9343659648e-01
220,4.1636404505e-01, 3.7668711662e-01
221,3.0084351628e-01, -8.9039857760e-02
222,2.9240788011e-01, 3.6746953019e-02
223,3.5474608266e-01, 1.7728828288e-01
224,3.0018032196e-01, -6.2723222078e-02
225,2.7530486481e-01, 1.3949525770e-02
226,3.0486175779e-01, -1.3948529896e-01
227,2.7200869895e-01, 1.1314656366e-01
228,3.5786538073e-01, 5.4234238191e-01
229,3.4207493655e-01, 6.3336390399e-02
230,2.6902807480e-01, -7.0800188167e-02
231,3.1033235624e-01, -1.4573945490e-01
232,2.7437375387e-01, 3.2378694467e-01
233,2.2088277643e-01, -4.7323124063e-03
234,2.2770541753e-01, 1.3784706656e-01
235,3.4089544955e-01, -4.0971425546e-02
236,3.1573641760e-01, 4.2820556213e-01
237,3.1283228119e-01, 4.5825548182e-02
238,1.8413073361e-01, 1.3470044541e-01
239,3.3175629777e-01, -2.5646451452e-02
240,2.9035679560e-01, -9.4661250138e-02
241,2.1990211423e-01, 1.0161280763e-01
242,3.8315427814e-01, -1.5004481379e-01
243,3.5767623513e-01, -5.0690869013e-02
244,4.2073089855e-01, 2.4943095502e-04
245,3.1717833038e-01, -3.3000124962e-03
246,2.7148222081e-01, 3.6507046495e-02
247,2.3650199113e-01, -7.7782231783e-03
248,2.7385374754e-01, -1.2696199158e-01
249,3.0688957478e-01, -3.8008606163e-02
250,3.5745253655e-01, 4.6126909884e-01
251,2.4500752030e-01, -1.8168129049e-02
252,2.6241903050e-01, 2.4738371658e-01
253,2.3911211771e-01, 6.5236668203e-02
254,2.7028683724e-01, 7.8047687347e-03
255,2.8787864811e-01, -9.6813522657e-02
256,2.4534437367e-01, -4.0231299096e-02
257,2.4808504823e-01, -4.1462276917e-02
258,3.0049722974e-01, -5.8578150344e-02
259,2.1843355256e-01, 2.7220851396e-01
260,2.6651894638e-01, -1.3546803922e-01
261,2.6452351186e-01, -1.4168677391e-01
262,2.2813677874e-01, 2.4299915047e-01
263,3.4292524135e-01, -9.0346579525e-02
264,3.9768556758e-01, 4.6182113935e-01
265,2.6498127294e-01, 6.9407030613e-02
266,3.7725343273e-01, -4.8667253199e-02
267,3.1497356829e-01, -4.8067729953e-02
268,3.2745895062e-01, -1.9345968901e-01
269,2.4073131998e-01, 1.7108911002e-01
270,2.6432948914e-01, -5.0414572366e-02
271,2.6556850157e-01, 3.3676076110e-03
272,2.9362208558e-01, -4.6256299746e-02
273,2.9586287321e-01, 9.9733016832e-02
274,3.7874664192e-01, 5.4904474959e-01
275,3.2928821827e-01, -1.7654412437e-01
276,2.3667677065e-01, 2.2766278308e-01
277,2.8157749890e-01, 1.7227890479e-02
278,3.1176671682e-01, 2.9802992915e-01
279,2.0697208106e-01, 2.5606960573e-01
280,4.9214454851e-01, 7.0014383694e-01
281,2.8802422615e-01, -6.0375369572e-02
282,2.2428766314e-01, 1.1601093673e-01
283,4.2128243028e-01, 4.6547604839e-01
284,5.0519952025e-01, 6.1568819602e-01
285,2.4784440484e-01, -1.0654862713e-01
286,1.9690352579e-01, -5.6010398783e-02
287,3.6636537075e-01, -8.2764834400e-02
288,3.4515734978e-01, -1.5769270627e-01
289,2.9228631582e-01, 2.8291001444e-01
290,3.8317557150e-01, 5.4093314068e-04
291,2.4224081424e-01, -4.0502404966e-02
292,2.5084035208e-01, -4.7702136239e-02
293,3.6017423524e-01, -1.8545322182e-01
294,3.0037905599e-01, -8.3144972561e-02
295,4.4502890300e-01, 6.9888630544e-01
296,2.8958170602e-01, 1.2184216140e-02
297,3.5452493050e-01, 3.8008806049e-02
298,3.2031758295e-01, -1.3799949065e-02
299,2.2350927855e-01, -6.8609302406e-02
300,3.0368650449e-01, -1.3795395807e-01
301,3.4000736256e-01, -6.3717462997e-02
302,2.3510626078e-01, -1.7784437952e-02
303,2.3445451402e-01, -5.7756501696e-02
304,2.7072699833e-01, 2.1568418665e-01
305,3.8294404792e-01, 5.0708506374e-01
306,3.9971551490e-01, 5.3827786777e-01
307,2.2220308786e-01, -2.9532048384e-02
308,2.2438819488e-01, -3.4112445612e-02
309,4.5577816583e-01, 6.7482694252e-01
310,3.8113627707e-01, -1.0318023157e-02
311,3.0258744378e-01, 3.0069341764e-01
312,2.9517978092e-01, 9.3349311986e-02
313,2.0782270232e-01, 1.1646357306e-01
314,3.7269873970e-01, 2.7904108648e-01
315,4.8457958236e-01, 6.5879078304e-01
316,2.4779226868e-01, 2.9742110510e-01
317,3.3828090793e-01, -6.0869209827e-02
318,3.8709593404e-01, -2.0073386632e-01
319,3.6777090741e-01, 2.7581924727e-01
320,3.0833410472e-01, -7.4021192362e-02
321,3.0112505559e-01, 4.6467839169e-01
322,2.4727385151e-01, 1.5297501361e-02
323,3.5871222890e-01, -1.5416411645e-01
324,3.2273307966e-01, -1.0283892041e-02
325,3.3497317851e-01, -2.6974715629e-02
326,2.3904075766e-01, 2.7754371960e-01
327,3.3871062697e-01, 4.2693593883e-01
328,3.7619787808e-01, -1.6661027016e-01
329,3.3771223926e-01, -1.6483964917e-01
330,2.0264828784e-01, 2.6156744035e-01
331,3.7452934278e-01, 5.5229042959e-01
332,3.0914434407e-01, 2.5090928296e-01
333,3.5795831231e-01, -7.8442556679e-02
334,3.4872650373e-01, 1.6967936639e-01
335,3.4462236846e-01, -9.5221604126e-03
336,3.6941823908e-01, 4.5036992096e-01
337,2.8621602141e-01, 2.9197515877e-01
338,2.6113321263e-01, 1.5779436153e-01
339,4.2940471285e-01, 4.5933420304e-01
340,2.5332380273e-01, -7.4013576847e-02
341,3.4911062091e-01, -1.7741203438e-01
342,3.7491612656e-01, -1.7247131125e-01
343,2.6241471037e-01, -7.3899506719e-02
344,2.7131195735e-01, -1.1725949057e-01
345,2.2885763394e-01, 9.5446400393e-02
346,2.8683057689e-01, 8.1639742774e-03
347,2.8246476892e-01, -6.2517395104e-02
348,2.4262165661e-01, 3.3762960331e-02
349,3.4351203348e-01, -2.6647030770e-02
350,3.1234278837e-01, -1.6296228709e-01
351,3.4272145315e-01, 3.8823577256e-01
352,2.4200165545e-01, -7.2876460733e-02
353,3.2613221299e-01, 4.2304483894e-01
354,2.3992531872e-01, 3.1667992237e-01
355,2.4155844593e-01, 1.5251956179e-01
356,2.4756482600e-01, 3.2887111060e-01
357,2.3629360320e-01, -5.6986789735e-02
358,2.4823769545e-01, -8.6993847831e-02
359,2.2211018097e-01, -3.9491925848e-02
360,2.1347995801e-01, -4.2735665646e-02
361,3.3536978338e-01, -4.8653019688e-02
362,5.3661952450e-01, 6.3172763760e-01
363,2.6236424159e-01, 1.2244416008e-01
364,3.0987903053e-01, -3.0619090309e-03
365,2.5968839986e-01, 4.0907665011e-01
366,3.1351694047e-01, 2.5879790292e-01
367,2.6423313766e-01, 4.4142208232e-01
368,3.0053302255e-01, -6.8653766261e-02
369,2.2256708987e-01, 3.1135999365e-02
370,3.3747510011e-01, 1.7737630377e-01
371,2.4975188560e-01, -4.4395449104e-02
372,2.3404952579e-01, -7.3493857977e-02
373,2.5616175447e-01, -8.3870752257e-02
374,3.3935230873e-01, 3.6235816120e-01
375,2.3618698496e-01, 8.8414874479e-02
376,3.5975062033e-01, -5.0251759276e-02
377,2.7000758264e-01, 2.5282643483e-01
378,2.9175778412e-01, 3.1435057385e-01
379,2.6729090290e-01, 1.1488908478e-02
380,3.2123808068e-01, -1.2091424437e-01
381,2.5283832558e-01, 2.2382699955e-01
382,3.2453668314e-01, 4.6800805370e-01
383,4.0855509110e-01, 4.1042873174e-01
384,2.5324214652e-01, 1.6064095559e-01
385,2.4483212509e-01, -2.5791886912e-02
386,2.3640434821e-01, -2.5858210021e-02
387,2.4518479937e-01, 4.4075377228e-03
388,2.5050613756e-01, 2.6792731691e-01
389,2.9672886249e-01, -1.3575427188e-01
390,1.8281640430e-01, 9.4515138543e-02
391,3.1025467572e-01, -9.5538340868e-02
392,3.5835981980e-01, -1.7454507048e-01
393,3.0496995205e-01, -1.0645932387e-01
394,3.9526212860e-01, -1.4926202470e-01
395,2.3897784977e-01, -4.1709544670e-02
396,2.5885572243e-01, -3.4784660072e-02
397,2.4713753480e-01, -1.5643846212e-02
398,2.2478265421e-01, 2.2591665374e-01
399,3.3871634662e-01, 4.8243958152e-01
400,3.2694247305e-01, 4.0141247226e-01
401,2.5705013629e-01, -5.8093915808e-02
402,3.3591212992e-01, 2.1030466506e-02
403,2.6683775381e-01, -2.7320881566e-02
404,4.0253989724e-01, -7.0257666614e-02
405,2.2790188955e-01, -5.7979537959e-02
406,2.9316960672e-01, -5.1385113424e-02
407,2.9951581401e-01, 3.3840447807e-01
408,2.3301531606e-01, 2.2428119040e-02
409,2.4975779900e-01, 4.5538547802e-02
410,3.2752042946e-01, -1.7237429721e-01
411,3.8038549227e-01, 2.1271355813e-02
412,2.8775043847e-01, -6.2434363798e-02
413,3.8988797022e-01, -9.0631715879e-02
414,3.1457183011e-01, 4.7547366524e-01
415,3.6947925030e-01, -2.1352226559e-02
416,3.2265225142e-01, -1.0309745999e-01
417,2.5791496230e-01, -5.1890543688e-02
418,1.9449993501e-01, 8.8960621268e-02
419,3.1704242038e-01, 3.1869921801e-01
420,3.7588662506e-01, 4.8994042402e-01
421,3.7634726133e-01, 5.9347998041e-01
422,2.3679142129e-01, 9.9303684670e-02
423,3.2669173648e-01, 2.6580340998e-01
424,3.2851330582e-01, 3.1079164061e-01
425,3.4500458910e-01, 2.9723987255e-01
426,2.5085434679e-01, 2.5534545187e-01
427,2.8313469340e-01, -6.5978344949e-02
428,3.3753692864e-01, 3.8936467815e-01
429,2.9170157303e-01, -1.0673338496e-01
430,2.5632004406e-01, -1.5697534687e-02
431,3.2487777166e-01, -6.0994491619e-02
432,3.0839304457e-01, 2.0826244254e-01
433,3.3233752631e-01, 2.5114966796e-02
434,2.9794411355e-01, 2.6356180269e-03
435,2.7808016861e-01, 3.4163601194e-01
436,1.9193746156e-01, 2.1869781932e-01
437,2.9519290846e-01, -1.0774211123e-01
438,2.7997296318e-01, -1.1516421753e-01
439,3.4878959655e-01, -3.5689122559e-02
440,2.1686211584e-01, 2.3536274263e-01
441,3.4005480087e-01, -4.4082631863e-02
442,2.4094257904e-01, -6.3116427178e-02
443,3.5425356714e-01, 4.9595431667e-01
444,3.6444234730e-01, -2.0281152064e-02
445,2.7666212333e-01, -1.1642979340e-02
446,2.7969739158e-01, 9.1627038923e-02
447,3.2247092521e-01, 3.7924463356e-01
448,2.7390547551e-01, 3.3138166469e-01
449,3.1285671241e-01, -5.3067531584e-02
450,3.3473466360e-01, -2.1913246320e-01
451,3.6607825998e-01, -1.4730671329e-01
452,2.9943978550e-01, -2.0921850102e-02
453,3.9031475232e-01, 4.9642209621e-01
454,3.5766938346e-01, -9.6823985383e-02
455,3.9131149660e-01, 4.3352929778e-01
456,3.6733368757e-01, -1.8299849862e-01
457,3.4961351758e-01, 4.4550036612e-01
458,2.8015484404e-01, 3.1796970871e-02
459,3.7774804609e-01, 4.8028148867e-01
460,3.0076671313e-01, 3.9700207732e-01
461,2.7974295142e-01, -3.2748045610e-03
462,3.4893100038e-01, 4.7088901724e-01
463,2.1292613523e-01, 5.2616626462e-02
464,3.2600283663e-01, 6.2398167327e-03
465,3.1265897399e-01, 3.8784741983e-01
466,2.2097981456e-01, -7.2869765787e-02
467,3.7950485246e-01, -5.3518150471e-02
468,3.5912412419e-01, -1.1362108950e-01
469,3.1278437083e-01, -1.6634965707e-01
470,3.0577905540e-01, 4.1092682783e-01
471,3.5151718255e-01, 3.1211701452e-01
472,3.0594768680e-01, -3.4841299720e-02
473,2.7123395967e-01, -1.1142955481e-02
474,3.0960262124e-01, 2.0320601989e-02
475,2.6892306727e-01, -7.4972209064e-02
476,2.8022436099e-01, -3.9612733569e-02
477,3.4191848289e-01, -1.2097262501e-02
478,2.0880206811e-01, 1.8394662532e-01
479,3.4413352486e-01, -1.8606410661e-01
480,4.0224243552e-01, -1.1650445969e-02
481,2.5887368974e-01, 1.6807161593e-03
482,3.5756624845e-01, -7.3084458189e-02
483,2.8750323191e-01, 3.3560058307e-01
484,2.9653322644e-01, 1.6944488905e-01
485,3.0900428655e-01, 3.0016357835e-02
486,2.1796918591e-01, 4.5427902076e-02
487,3.0405778602e-01, 5.7137987981e-02
488,2.4269071216e-01, 1.8160202157e-01
489,3.1406286297e-01, -7.1364901571e-02
490,3.2975869310e-01, -3.9236812480e-02
491,3.3928165331e-01, -3.5384582704e-02
492,3.1594543729e-01, 5.5676680791e-01
493,3.1457198367e-01, 9.6555362712e-03
494,2.9214703235e-01, 3.1202900052e-01
495,2.6197624467e-01, 3.3098208023e-01
496,2.5313752001e-01, -9.7047850131e-02
497,2.9486111008e-01, 4.1291529856e-01
498,3.2791828231e-01, -9.0699946247e-02
499,2.7121612008e-01, -1.1355127898e-01
500,3.2488202043e-01, 3.7291124562e-01
